accuse of,"un. 控告
[网络] 指责；指控；因某事控告某人"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
go against,"反对, 违反, 不利于"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
get ahead,"na. 进步；前进
[网络] 获得成功；超过；走在前面"
get back to,"回到…,继续…"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
[网络] 逃避；摆脱；离开"
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
give access to,"准许进入,使得以进入"
give birth to,产生
give credit to sb. for ...,无
give priority to,"给…以优先权,优先考虑…"
go along,"na. 前进
[网络] 进行；沿着……一直走；同意"
go out,"na. 出国；(火,灯)熄；辞职；下台
[网络] 熄灭；出去；外出"
go with,"伴随, 与...相配"
get going,"na. 〈美口〉开始；出去；使某人发怒
[网络] 出发；动手；走"
get in the way,"挡住去路,障碍,碍事"
get ready,[网络] 准备好；预备；做好准备
give one's name to, 发明（或发现、创建）以自己名字命名的事物
go astray,v. 走入歧途
grind on,[地名] 格林登 ( 英 )
get on in life,"发迹, 飞黄腾达"
get out of the way,"v. 解决；除去
[网络] 让开；避开；闪开"
get the nod,"得到认可,被选中"
good-for-nothing,"n. 无用的人, 废物, 无价值的人
[经] 没有用处的"
great men of genius,无
have nothing to do with,与...无关
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
happen to sb.,"碰巧,偶然;发生于"
happen to sth.,"碰巧,偶然;发生于"
have a good time,过得快乐
have an advantage over,"胜过,比…优越"
have connection with, 与…有联系
have difficulty,有困难
have difficulty in,对…有困难
have faith in,"na. 相信
[网络] 信任；对……有信心；信仰"
have little use for,无
have no use for,"不需要, 厌恶"
head into,迎着(风等)而行
hear from,"接到...的信, 受...批评"
help sb. toward,无
help to,"un. 替某人或自己取食物、饮料等:
[网络] 有助于；促进"
hold on,不挂断电话，等一下；继续
hold one's own,坚持住
hold up,"n. 拦劫行人的强盗行为, 劫盗, 停顿, 索高价
[经] 索高价, 阻碍, 停顿"
hundreds of thousands of,"几十万,无数"
have a clear grasp of,无
have the nerve to do,无
impinge on,"撞击, 侵犯, 紧密接触"
insist on,"坚持, 坚决要求"
intend to,"打算(做)..., 想要(做)..."
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
ignorance about,无
in addition,另外
in and out,"a. 时好时坏的, 暂时性的,买进卖出的"
in a sense,在某种意义上
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
in brief,"简言之, 以简洁的形式"
in consequence,"n. 不合理, 矛盾, 不切题"
in contrast,"比较起来, 相反地, 而"
indifference to,对…漠不关心
in effect,"有效
[法] 有效, 生效, 实际上"
in face of,"面对,在…面前;不顾,即使"
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in favor of,"赞同, 有利于"
in general,大多数
in line with,符合
in order to, 为了…
in particular,特别
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
in theory, 理论上
in the wake of,"尾随, 紧跟, 仿效"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
in vain,"na. 无益地；轻忽地
[网络] 徒然；徒劳；白白地"
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
inject into,把…注入身体; 给…添加
integrate into,与…成为一体
integrate with,使与...结合
interact with, 与…相互作用，与…相互影响; 与…相互配合
interfere with,"干涉,干扰,妨碍"
invite to,邀请(某人)参加
ill-informed,"a. 消息不灵通的, 所知不多的"
in action,"n. 不活动, 无为, 怠惰, 迟钝
[医] 无作用"
in a form,无
in a manner,"在某种意义上,有几分,多多少少,可以说"
in any case,无论如何
in a position,能够做
in a ... situation,无
in a small way,"小规模地, 节俭地"
in-built,"a. 内置的, 固定的, 嵌入的"
in business,"在营业,在生产,在做生意"
in cash,[经] 用现金
in combination with,与...结合
in competition with,[网络] 与…竞争；在与…竞争之中；与……比赛
in conjunction with,与...协力
in contact with,与...在接触中
in danger,"na. 在危险中
[网络] 垂危；处于危险之中；处于危险中"
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
in despair,绝望地
in detail,详细地
in dispute,在争论中
in exchange, [财]在兑换中
in exchange for,交换
in fashion,"时髦,流行,合潮流"
influence on,对…有影响
in front of,在...前面
in large numbers, 满谷满坑；成群；满坑满谷
in matter of,与…有关
in memory of,纪念...
in need,"在急需时,在贫困时,在危难中"
in order,"整齐, 状况良好, 适宜"
in other ways,在其他方面
in other words,换句话说
in part,部分地
in perspective,"正确地, 显示在脑海中, 符合透视法地"
in practice,"在实践中, 实际上, 熟练"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
[网络] 印上；息气是铭印；铭印现象"
in public,当众
in quest of,为了追求...
in reality,"实际上, 事实上"
in respect of,"[法] 关于, 就...而言"
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
in return,作为报答
in return for,作为...的报答
in search of,寻找
in short supply,供应不足
in small amount,无
in some ways,在某些方面
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
[经] 存仓"
in sympathy with,"赞同..., 与...一致"
in ... terms,"用...的话来说, 以...的措词, 用...的思想方法, 在...方面, 从...方面说来"
in the background,在幕后;隐蔽地
in the end,"最后, 终于"
in the eyes of,在...心目中
in the form of,以…形式
in the heart of,在…中心
in the interest of,"na. 为了…的利益
[网络] 对……有利；为了……利益；符合……的利益"
in the knowledge of,无
in the light of,"由于, 当作
[法] 根据, 按照"
in the long run,"长远, 最后"
in the long term,长远地
in the short term,短期内
in the manner of,"以…方式,按照,根据…"
in the matter of,"就...而论
[法] 就...而论, 在方面"
in the past,在过去
in the process of,在...的过程中
in the way,挡道
in the way of,在…方面;在…过程中;作为…;阻碍…
in use,"na. 正在用；通行；“in/out of use”的变体
[网络] 中；使用过；在使用中"
in words,口头上
impose on,"v. 强迫；欺骗
[网络] 把…强加于；施加影响于；利用"
interfere in,"干预,干涉,介入"
issue in,导致
in ample supply,无
in a row,"成一长行, 连续, 一连串"
in a vacuum,似在真空中
in blinding flash,无
in keeping with,"与...一致
[法] 与...一致, 应遵照..."
in the array of,无
in the grip of,在…的支配下；受…控制
in the medium term,[网络] 词语或英文单词
in the pipeline,"在进行,在着手,在准备,在制定"
jump at,欣然接受
jump on,扑向
keep down,"na. 压住；压服；【印】用小活字排印；缩减
[网络] 控制；镇压；控制，压制，镇压"
keep ... from doing,[网络] 避免做；避免做某事；从某事中停下来
keep a close watch on,"密切注意, 关注"
keep an eye on,"照看, 密切注视"
keep an eye out for,留心〔注意〕某人〔某事物〕
keep one's word,守信
keep up,"na. 维持；保持；持续；停歇
[网络] 继续；坚持；继续下去"
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
kill off,"na. 消灭
[网络] 杀光；扼杀，否决；除去"
keen on, 热衷于有兴趣的
keep one's eyes open,"注意, 留心"
keep abreast of,保持与...并列
be abreast of,保持与...并列
keep one's end up,精神饱满地对付
hold one's end up,见 keep one's end up
hold up one's end,[网络] 赏罚分明
keep track of,了解
key in,"n. 〔计〕键盘输入
v. 键入
[网络] 录入；按键输入；键输入子模块"
knee-jerk reaction,[网络] 膝跳反应；反射动作
lay off,"n. 解雇, (临时)解雇期, 关闭, 停歇
[经] 临时解雇, 停止工作, 休息"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
look for,"寻找, 期待"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lose faith in,不再信任
lack of, 缺乏
land in,[网络] 着陆；在……着陆；在大地点着陆
lay the roots for,无
lead into,把…带入; 导致; (道路等)通向
lead on,"na. 哄骗；怂恿
[网络] 继续引领；雷帝；率领"
lean on,"na. 靠在；倚赖；【军】据险(固守)
[网络] 依靠；依赖；倚靠"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
lie down,"v. 躺；不反抗；屈服；顺从
[网络] 躺下；躺卧；倒卧"
lie in,"在于..., 分娩, 睡懒觉"
lie with,是...的权利/义务
line up,"n. 一排人; 一组人; （用途相同的）一批东西; （比赛时）球员的阵容
v. 排成行, 排成直线"
live by,靠…为生
live in,"na. 住进；(雇员)住在东家
[网络] 居住"
live off,"以...为食料, 靠...生活"
long for,渴望
look back,"na. 回顾；回头看；追想 (to；upon)；(对事业等)不起劲
[网络] 回环；同本义；追忆"
look back at,无
look back on,"回头看,回顾,追忆"
look upon," 看作, 显得不错; 看待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
[法] 调查"
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
lose sleep,"na. 失眠
[网络] 忧虑；担心"
laughing stock,n. 笑柄
less ... and more ...,无
less than," 小于, 决不; 以内; 没有; 不足"
life sentence,无期徒刑（等于life）
lay over,"n. 中途的短暂停留
[网络] 旅行中的短停留；转机停留；中途停留"
lock away,"na. 锁起来
[网络] 把…锁藏起来；把它锁起来；下锁保管"
loom large,显得突出
lump together,把…合在一起(考虑)
learning curve,"[计] 学习曲线, 熟悉曲线"
leave sb. in the dust,[网络] 撇下某人或某物
leave sth. in the dust,[网络] 撇下某人或某物
make fun of,取笑
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
make no difference,没有影响
make demand of,无
make reflection on,无
make use of,使用
manage to, 达成，设法
marvel at,对...惊奇
meet the requirements of,vt.  适应(满足 ... 的需要)
move on,"na. 继续前进；不停地向前走；〔交通警察命令〕向前!
[网络] 慕风；继续前进协会；木木"
multiply by,"v. 乘
[网络] 乘以；乘上；使相乘"
make an effort,作出努力
make money,"挣钱
[经] 赚钱, 挣钱"
make progress,取得进步/展
make sacrifice,无
make sure,确定
market-oriented, 以市场为导向
meet one's need,满足某人的需要
millions of,"成千上万的..., 无数的..."
more often than not,"多半, 通常"
more than,"na. …以上；比…更
[网络] 多于；超过；不止"
multitudes of,[网络] 众多
move against,行动起来反对
make a splash,引起轰动
cause a splash,[网络] 引人注目；引起轰动
merit pay,[经] 功绩酬劳
muscle tone, [医]肌紧张，肌肉紧张度
no less than,正如
no longer,"na. 已不
[网络] 不再是"
nothing more than,不过是...
now that,"既然..., 由于..."
neglect of,疏忽
neither here nor there,"不中肯, 与题目不相干, 不重要, 与...无关的"
neither ... nor,[网络] 既不……也不；两者都不；均不
never mind,"un. 不要紧；没关系；开诚布公地谈
[网络] 在线"
night and day,na. 日夜；不分昼夜
no doubt,"na. 无疑地；〈口〉很可能
[网络] 毫无疑问；必定；不要怀疑合唱团"
no end,非常
none but,只有
none other than,"不是别人而正是..., 不是他物而正是..."
no other than,"na. 就是；只有
[网络] 正是；除…外没有；不是别的"
no sooner ... than,"na. 才…(就)
[网络] 一……就；不早于；刚…就"
not as ... as,无
not so ... as,"不如...那样..., 没有...那么..."
not ... at all,一点也不；别客气
not ... but ...,"虽然,但并非不…"
not have a leg to stand on,"(论点等)站不住脚, 对行为无合理的解释等"
nothing but,只
not in the least,"绝对不, 一点也不"
not so much ... as,"conj. 甚至不
[网络] 与其说…不如说；甚至没有；连…都不肯"
not to mention,不必提及
no way,"na. 无论如何不
[网络] 不行；不可能；没门"
nowhere near,离...很近
no wonder,[网络] 难怪；怪不得；我是船长
nose about,"打听,探听,刺探"
nose around,=nose about
narrow escape, 九死一生，幸免于难; 真玄啊
narrow victory, [体]险胜
none too,不很
oppose to, <正>反对
owe to,"v. 由于；把…归功于
[网络] 应该把…归功于；欠；因为"
on average, 平均起来
on behalf of,"代表...
[经] 代表"
once for all,"na. 只此一次；断然
[网络] 一次赐下而恒常不变；一次即成"
only if,只要...就
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
on the basis of,以...为基础
on the contrary,"正相反
[法] 正相反, 相反地"
on the one hand,na. 一方面
on the other hand,另一方面
on the whole,"大体上, 基本上"
other than,(人、物等)不同于…
out of date,"过时的, 废弃的
[化] 过期的; 过时的"
owing to,"由于..., 因为..."
occur to,…发生在; 被想起〔到〕
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
operate on,对...施手术
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
ought to,应该
objection to,[网络] 反对；反对某事；对……反对
of a kind,"同一类的, 蹩脚的"
of all kinds,各种各样的…
of a sort,"同一类的, 较差的"
of course,"na. 当然
[网络] 当然了；自然；当然可以"
off and on,"断断续续地, 时不时地"
off balance,"un. 偿清债务；趔趄
[网络] 失去平衡的；失去平衡；不平衡"
off duty,"na. 在工作时间外；下班
[网络] 轻松迎接下班；轻松接连下班"
off one's guard,"不提防, 不警惕"
off the air,un. 广播中止；没发射
on account of,由于
on a daily basis, 每天（指一起共事）
on a diet,"按规定进食,进规定的饮食"
on and on,继续不停地
on business,因公
once again,"na. 一再；再一次；“once again/more”的变体
[网络] 再度；再次；又一次"
once in a while,na. 偶尔；有时；时不时
once more,再一次
once upon a time,"na. 很久很久以前；从前；古时候
[网络] 明信片"
on condition that,"若是…, 以…为条件"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on duty,"na. 在工作时间内；上班；值班
[网络] 工作用语；综合"
one after another,"接连地
[计] 批次发送"
one another,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
on earth,"在世上, 究竟"
one by one,"na. 一个一个；一个一个地
[网络] 依次链的选取；一个接一个；逐个捕获"
one day,（将来）有一天；总有一天；（过去）某一天
on end,竖着(通常与动词stand连用)
one way or another,无论如何
on file,"存档
[法] 存档, 归档"
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
[网络] 走路；步行时；走路去"
on guard,"na. 看守；值班
[网络] 站岗；警惕；防范"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
[网络] 在手边；在场；在手头"
on impulse,一时冲动
on leave,休假
on line,"un. 在线的；联机；电站并网；机控
[网络] 线上人数"
on loan,"na. 出借
[网络] 借调；租借"
only too,"非常, 实在, 完全"
on no account,决不
on occasion,有时
on occasions,"间或, 有时"
on one's guard,警惕
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
on order,"已定(购)而尚未交货的
[经] 已定购而未交货"
on paper,"以书面形式, 在名义上"
on purpose,"故意
[法] 故意地"
on record,"adj. 准予公开发表的，公开的；记录在案的,正式的[亦作 on-the-record]"
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
on schedule,adv. 按时；按照预定时间
on that score,在那点上
on the air,adv.正在广播(发信机在工作中)
on the alert,"警惕着, 防备着
[法] 戒备, 留意"
on the decline,没落
on the go,adj. 活跃的; 忙碌的
on the hour,准点地
on the increase,正在增长
on the job,[网络] 私人企业实习
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
[网络] 移动中；流动系统；在活动中"
on the net,[网络] 在网上；网上资讯；网络上
on the occasion of,值此...之际
on the point of,正要...的时候
on the quiet,"秘密地
[法] 秘密地, 私下地"
on the rise,"在上涨, 在增长"
on the road to,"un. 在旅途中；要；在…过程中
[网络] 在去……的旅途中；通向…路当中；他终于感到自己快要成功了"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
[法] 在逃"
on the shelf,"被搁置的, 束之高阁, 被废弃的, 推迟执行, 被辞退的, 无结婚希望, 死了的"
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
on the table,"在桌面上, 公开地, 被提交讨论的"
on the verge of,"接近于, 濒临于"
on thin ice,如履薄冰
on time,"na. 准时；按时
[网络] 定时；准时到府；准时性"
on top,"na. 在上；〔英国〕在(双层公共车辆的)顶座；成功；占优势
[网络] 顶好佳；是否固顶；安淘"
open-minded,"adj. 虚心的
[网络] 开诚布公；开朗的；开放思维"
or else,否则
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
out of condition,"健康状况不好, 保存得不好"
out of control,"na. 失去控制
[网络] 失控；不在管制状态下；在控制中"
out of doors,adv. 户外
out of fashion,"不合时尚,不时兴的,过时"
out of hand,"无法控制, 脱手, 告终, 立即"
out of the way,"不挡道, 不恰当, 异常, 偏僻
[法] 把...移开, 把...除掉"
over the years,"在这几年中, 在那几年中"
over time,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
odds and ends,na. 零星杂品
off-the-cuff,"a. 未预备的, 即席的"
off the hook,"un. 齿轮脱开
[网络] 逃脱；摆脱困境；脱身"
off the record,"非正式地, 不可引用地
[法] 不公开的, 非正式的"
of no account,不重要的
of one's own accord,自愿地
on approval,"商品供试用的, 包退包换的
[经] (商品)供试用, 包退包换"
on cue,就在这个时候
on edge,"竖着, 紧张, 急切"
on oath,"发誓, 在誓言的约束下
[法] 发誓"
under oath,"宣誓,发誓,凭誓言"
on one's conscience, 令人感到内疚，受到良心谴责
on one's honor, 以名誉担保
upon one's honor,无
on one's own initiative,主动地
on the blink,"奄奄一息,濒于死亡;坏了,失灵"
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the button,"击中下颔, 准确, 确切, 准时"
on the fence,"抱观望态度, 保持中立"
on the grounds of, 以…为理由，根据
on the grounds that,conj. 由于（根据）
on the horizon,在地平线上
on the ropes,"倒在栏索上, 处于困境, 濒于失败"
on the sly,诡秘地
on the spur of the moment, 凭一时冲动; 日不移晷
out of character,"不符合某人一贯的性格, 与自己的性/习惯/所扮的角色不适合"
out of joint,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的"
over-the-counter,"a. 不通过交易所而直接售给顾客的, 不需处方可以出售的(药)"
pay attention to,注意
persuade into,劝某人做某事
play a role in,在...起作用
point out,"na. 指出
[网络] 指明；说明；指示"
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
prevent ... from doing,无
provide for,"v. 为…作准备
[网络] 为…提供；供养；赡养"
provide ... with,"v. 供给；供应
[网络] 提供；给…提供；以…装备"
put down to,[网络] 归因于；说…因而起；归因为
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
parallel to, vt. 平行于；与……平等
parallel with,与...比较
peculiar to, 是…特有的
prior to,"在前, 居先
[经] 在...之前"
participate in,"参加, 参与, 分享"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
pave the way for,为...铺平道路
pay back,"na. 偿还；报答；向…报复；付还
[网络] 回报；还钱；还钱给"
pay for,付...款
pick out,"na. 挑选；掘出；闻出；领会
[网络] 挑出；选出；选出，挑出，拣出"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
piece together,"na. 拼合
[网络] 拼凑；拼凑在一起；综合"
place emphasis on,"强调,重视,着重于…"
play off against,完成同其他优胜者的平分比赛; (使)相互争斗以坐收渔利
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
pop into,急急走进…
prepare against,"为对付…做好准备,防备…"
prepare for,[网络] 准备；为…作准备；为…做准备
press for,"na. 催逼；(时间)迫促；(资金)短少
[网络] 迫切要求；催促；敦促"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
[网络] 加紧赶路；加紧进行；压迫"
pull through,"(使)渡过难关, (使)恢复健康"
push aside,"v. 推开
[网络] 把…推到一边；拨开；扒开"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
[网络] 向上推；伏地挺身；掌上压"
put an end to,"结束, 终止"
put on hold, 搁置; 延期; 暂停
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
package deal,[贸易] 一揽子交易；[贸易] 整批交易；成套交易
pay rise,[网络] 加薪；涨工资；增加工资
pay raise,[网络] 加薪；增加工资；调高薪资
persuade sb. to do sth.,无
point of view,"na. 观点
[网络] 视点；视角；主述观点"
pose a contrast,无
preferable to,"adj. 优于；胜过
[网络] 更好的；更可取的；比…更可取"
public figure,n. 社会名人; 人士
put another way, 换句话说
put ... on notice,"警告
引起关注"
put pen to paper,落笔
pair with,与...成对
pepper ... with,[网络] 用小物体不断打击某人
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
[网络] 确定；压制；使受约束"
plead for,为...辩护
plough through,"驶过,穿过,乘风破浪"
point at, （把…）对准，指向; 针对; 指画
point to,指向
prey on,"捕食, 掠夺"
part and parcel,na. 重要[基本]部分；(…的)重要部分
pink slip,"解雇通知书
[法] 解雇通知书"
prejudice against,使对…抱有偏见
put down roots,[网络] 落地生根；定居；扎根
quick-witted,"n. 有急智的；机智的
adj. 伶俐的
[网络] 敏锐的；古灵精怪"
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
regard as,把...认作
renege on,[网络] 食言；违背；违约
resort to,"诉诸于, 采取
[法] 诉诸"
rest on,n. 莱斯顿（姓）；雷斯顿（美国、加拿大、英国地名）
result from,"由...产生
[法] 由于, 由...引起"
result in,"导致
[法] 产生, 导致"
run against,"撞上, 偶遇, 违反"
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
regardless of,"不注意, 不关心"
reliance on,[网络] 依赖；依靠；对……的依赖
reluctant to, 不甘心情愿做…
reflect on,"深思, 反省, 导致, 招致非议"
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
remove from,从...除去
reply to,回答
report back," 带回…的报告, 汇报"
resign from,"v. 辞职
[网络] 辞去；辞去……职务；从…辞职"
respond to,"答复,响应,对…作出反应"
rest with,取决于
retreat from,"放弃, 退出"
return to,回复到...
ride on,un. 在…上运动:；取决于；骑在(马、自行车等)上:；在…上航行
roll in,"n. 转入（返回）
n. (Rollin)人名；(英、德、西、意、葡、瑞典、芬)罗林；(法)罗兰"
root in,[网络] 裕田；扎根于；来源于
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
run out,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出
[法] 背弃, 遗弃, 逃避"
rush through,"匆忙做完,草草完成;掠过"
rare bird,"n. 稀有的人或物, 珍品; 珍禽"
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
ready-made,"[经] 现成的, 预先制好的"
real estate,"n. 房地产；房产；不动产
[网络] 房地产论坛；房地产专业；地产房产"
reason for,…的原因
research into,"探究, 调查"
research on, 研究， 探讨…
responsible for,na. 为…负责；是造成…的原因
responsible to,[网络] 有责任于；对…有反应；向某人负责
run wild,放肆
rake in,"un. 赚大钱
[网络] 迅速取得；大量地敛集；大量敛集"
revolve around," 旋转, 绕转; 环绕"
run counter to,"违反, 背道而驰"
rallying cry,"na. 呐喊
[网络] 战斗口号；鼓舞之吼；振奋战呼"
rumor has it,[网络] 流言蜚语；当真爱碰上八卦；据传言说
scrape through,勉强通过
search for,搜查
seek to,vt. 设法; 企图，试图
show sympathy for,无
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
[网络] 关机；停工；使关闭"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
[网络] 退关；排除；把…排斥在外"
sign on,"[计] 开始指令
[经] 开始(指令)"
slow down,"n. 降低速度, 减速"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stay away from,不在，外出；走开；不接近，不打扰；避开
step out of,从…走出
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
stress the importance of,无
stumble on,"无意中发现,偶然找到"
subscribe to,"预订, 同意, 订阅"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
seem to,似乎，好象；看起来
similar to,"v. 与…类似
[网络] 相似；与……相似；与……类似"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
so long as,只要
as long as,只要...
so that,"如此…以致…；以致…, 结果是…；以便"
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
scale back,"na. 相应缩减
[网络] 按比例缩减；减少；缩小"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
[网络] 按比例缩小；缩小比例；按比例减少"
see ... as,[网络] 视…为；看作；看作为
seek out,"搜出, 挑出"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
send on,"na. 转送；转寄(信等)；预送；先送
[网络] 转交；派遣；预先运送或中转运送"
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set out,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定
[法] 发表, 宣布, 打算"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
side with,"同意, 站在...的一边"
sign up,"签约参加工作, 签约雇用"
sit back,"不采取行动, 向后靠着坐"
sit by,"坐在旁边, 守护照料, 无动于衷"
sit in on,"列席, 旁听"
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
[法] 调查, 询问, 占有一席次"
sit out,"na. “sit through”的变体
[网络] 袖手旁观；坐在户外；对……袖手旁观"
sit through,"坐着捱到结束, 耐着性子看完"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,n. 估量；对火情的估计；放大画面；测定尺寸
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
[网络] 以睡眠来消除；以睡眠消除；用睡觉消除"
sleep through,睡过头
slip in,"un. 溜下；不声不响地走进去；出差错
[网络] 滑入式"
slip through,悄悄通过
slip up,"疏忽
[法] 犯错误, 失误, 疏忽"
smell of,有...的气味
sort out,"na. 清理
[网络] 分类；整理；解决"
space out,隔开
speak for,"代表...讲话, 要求得到, 订购"
speak of,"谈到..., 论及..."
speak out,"na. 大声讲；老老实实讲
[网络] 表白；大声说；言语"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speed up,"加速
[经] 加速"
spell out,"na. 详细说明；【印】正式拼写
[网络] 讲清楚；清楚地说明；拼出"
spend on,[网络] 花费；把…花在；在……方面花费
spread out," 伸展, 延长; 分散; 铺设; 衍"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
[网络] 遍布；传遍；遍布在"
spring up,出现
stand by,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
[电] 备用的"
stand down,"na. 休止；停工；临时解雇时期
[网络] 解除戒备；状态指定成防御；兽族地洞"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand in,"na. 加入；〈口〉使花费
[网络] 代课"
stand off,"疏远, 离岸, 避开
[法] 避开, 不接近, 临时解雇"
