accuse of,"un. 控告
[网络] 指责；指控；因某事控告某人"
act on,"按...行动, 作用于
[机] 作用于"
adapt to,适应…;适合…
add to,"na. 增加
[网络] 增添；增进；添加"
adhere to,"执着于,坚持,粘附于,信奉…"
aim for, 计划， 打算
apply to,抹；涂；把...应用于
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
a bit of,一点
above all,"尤其是, 首先"
access to,有权使用
accessible to, [医]adj.易接近的，能进去的
according to,"na. 据…所说
[网络] 按照；根据；依照"
accountable to,对…(人)负责
agreeable to,欣然同意的；适合的，适宜的；遵照，顺从，依从；赞同(提议等)
along with,"与…一道,与…一起,连同…"
anything but,"单单除...之外, 决不"
apart from,除了...之外
as a means of,作为…的工具；作为…的方法
as a result,因此;结果
as a result of,作为结果
as far as,"远到, 直到, 至于"
as for,至于
as to,[=antistreptolysin-O]抗链球菌溶血素O
as if,"na. 彷佛；活像
[网络] 好像；仿佛；似乎"
as usual,a. 照常
as well as,"也, 又"
at all,"na. 全然；既然
[网络] 根本；究竟；丝毫"
at all costs,不惜任何代价
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
at length,"最后, 详细地"
at odds with, 与…不和，与…争吵
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at stake,"危如累卵, 在危险中"
at the end of,"在…末尾,在…结束时"
at times,"有时, 不时"
abide by, 遵守; 信守; 忠于（某人）; 接受
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
act for,代理
adjust to,[计] 调整至
agree on,"就…取得一致意见,商定"
agree to,"同意,赞成…"
agree with,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
allow ... to,根据法律拨(款)给；给(钱)与
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
argue for,"支持,为支持…而辩论"
arm with,用…武装; 向…提供
arrive in,"到达,抵达,来到"
associate with,"v. 与…联系
[网络] 结交；联合；交往"
attach importance to,重视
attach to," （使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附"
attempt to, 尝试，企图; 试图做某事
attribute to,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
avail oneself of,利用；趁(机会)，借此(机会)
agreement on,一致意见
alien to,adj. 与…相反
alien from,和…相反，和…相异，和…不合
all in all,"总而言之, 合计, 头等重要的东西"
all the same,仍然
a majority of,"大部分,大多数"
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
analogous to, [医]adj.类似于，类同于
and so forth,等等
and so on,等等
and yet,可是
a part of, 部分
a period of, 阵子
a piece of cake,轻松的事
as a whole,总体上
as often as,每当
as often as not,"往往, 多半"
as opposed to,"完全不同, 截然相反, 反对, 对照"
a sort of,"一种,某种,勉强称得上的…"
a spell of,无
as regards,"关于, 至于"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
as long as,只要...
so long as,只要
as yet,至今仍
at a glance,"看一眼, 一下子"
at all events,无论如何
at all times,一直
at a loss,"困惑, 亏本地"
at an end,"结束,终止"
at any price,无论如何
at any rate,"无论如何, 至少"
at a profit,"[经] 赚钱, 获利"
at a stretch,一口气地
at a time,"每次, 在某时"
at fault,"感到困惑, 有故障"
at first glance," 一看就, 初看, 乍看起来"
at hand,"在手边, 在附近, 即将到来"
at its best, 处于最佳状态，处在最好状态
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
at leisure,"na. 在闲暇中；从容不迫地；失业
[网络] 有空；有空，闲暇时；从容地"
a train of,一连串
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
at sb.'s disposal,无
at sea,在海上；茫然；感觉困惑
at short notice,"一通知就
[经] 在通知的短期间内"
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
