China,"n. 中国, 瓷器
a. 中国的"
from,abbr. full range of movement 各领域的运动
Canada,n. 加拿大
the U.S.,[网络] 美国；指美国；是美国好不好
Britain,"n. 不列颠（包括英格兰、苏格兰及威尔士）
[网络] 英国；大不列颠；不列颠岛"
Australia,"n. 澳洲, 澳大利亚"
India,n. 印度
France,n. 法国
her,"pron. 她的；她
n. (Her)人名；(法)埃尔"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
Ottawa,n. 渥太华
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
famous,"a. 出名的, 极好的"
Washington D.C.,[网络] 华盛顿特区；华盛顿英文中；华盛顿哥伦比亚特区
housework,"n. 家事, 家务"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
clean,"adj. 洁净的；干净的；爱干净的；爱整洁的
v. 除去…的灰尘；使…干净；打扫；变干净
n. 打扫；清扫
adv. 完全地
[网络] 清洁；清洁的；清除"
window,"n. 窗口；窗户；窗玻璃；视窗
v. 在…安窗子；开窗孔于；【计】把(数据)置入窗口
[网络] 视窗截图；经典怀旧；支持系统"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
clothes,n. 衣服
meal,"n. 一餐, 一顿饭；膳食
vi. 进餐"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
dish,"n. 盘子, 碟, 菜肴
[医] 皿, 碟"
yum,int. 极好的；妙的；美味的
