use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
misuse,"v.误用,错用,滥用,虐待n.误用,错用,滥用,误用之实例"
take,"v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量"
mistake,
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
core,"n.果核,中心,核心"
record,"n.履历,档案,诉状,最高纪录,报告,唱片vt.记录,标明,将...录音vi.录音,被录音adj.创纪录的"
example,"n.例子,实例,例题,范例,榜样,鉴戒,实例"
amplify,"vt.放大,增强v.扩大"
time,"n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的 /n.时间/日期"
temporary,"adj.暂时的,临时的,临时性"
contemporary,"n.同时代的人adj.当代的,同时代的"
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
workforce,
framework,"n.构架,框架,结构"
network,"n.网络,网状物,广播网"
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步"
donate,"v.捐赠,赠予"
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的"
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
justify,v.证明...是正当的
justification,"n.认为有理,认为正当,理由,辩护,释罪"
author,"n.作家,创造者"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
authorize,v.批准
suggest,"vt.建议,提出,使想起,暗示"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
social,"adj.社会的,爱交际的,社交的,群居的"
society,"n.社会,...会,...社,友伴,交际,社交界,上流社会"
association,"n.协会,联合,结交,联想"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
text,"n.正文,原文,课文,课本"
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
statesman,n.政治家
result,"n.结果,成效,计算结果vi.起因,由于,以...为结果,导致"
consult,"v.商量,商议,请教,参考,考虑"
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明"
appoint,"vt.约定,指定(时间,地点),任命,委任"
problem,"n.问题,难题"
