use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的"
party,"n.党,政党,随行人员,[律]当事人,社交会"
partly,"adv.部分,几分"
counterpart,"n.副本,极相似的人或物,配对物"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
departure,"n.启程,出发,离开"
participant,"n.参与者,共享者adj.参与的"
participate,"vi.参与,参加,分享,分担"
idea,"n.想法,念头,意见,主意,思想,观念,概念"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
limit,"n.界限,限度,限制vt.限制,限定"
limitation,"n.限制,局限性"
eliminate,"vt.排除,消除v.除去"
preliminary,"adj.预备的,初步的"
require,"vt.需要,要求,命令"
acquire,"vt.获得,学到"
request,"vt.请求,要求n.请求,要求,邀请"
inquire,"v.询问,问明,查究"
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
review,"vt.回顾,复习n.回顾,复习,评论"
interview,"vt.接见,会见n.接见,会见"
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
humanity,"n.人性,人类,博爱,仁慈"
individual,"n.个人,个体adj.个别的,单独的,个人的"
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
leader,"n.领导者,社论n.[计]前导字符n.[机]导杆"
mislead,vt.误导
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
influential,"adj.有影响的,有势力的"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
recall,"vt.回忆,回想,记起,取消n.召回"
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的"
publish,"v.出版,刊印vt.公布,发表"
publisher,"n.出版者,发行人 /n.出版者/订阅者"
consider,"vt.考虑,照顾,认为"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
start,"n.动身,出发点,开始,惊起,惊跳,赛跑的先跑权,优先地位v.出发,起程,开始,着手,惊动,惊起,起动,发动  削减战略武器条约START(Strategic Arms Reduction Treaty)"
startle,v.震惊
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
different,adj.不同的
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
infer,v.推断
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
indifference,n.不关心
differentiate,"v.区别,区分"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
look,"n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待"
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
decision,"n.决定,决心,决议,结果,果断,坚定"
precision,"n.精确,精密度,精度"
title,"n.头衔,名称,标题,冠军,资格,字幕,权利,扉页vt.赋予头衔,加标题于adj.标题的,用作书名的"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认"
owe,"vt.欠(债等),受到...的思想,感激,把...归功于v.欠,应感激,应该把...归功于(to)vi.欠钱"
create,"vt.创造,创作,引起,造成"
creative,adj.创造性的
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
improve,"v.改善,改进"
approval,"n.赞成,承认,正式批准"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
perform,"vt.履行,执行,表演,演出v.完成任务"
performance,"n.履行,执行,成绩,性能,表演,演奏"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
communication,"n.传达,信息,交通,通讯"
immune,adj.免疫的
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
proceeding,"n.行动,进行,[pl.] 会议录,学报"
access,"n.通路,访问,入门vt.存取,接近"
excessive,"adj.过多的,过分的,额外"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
procedure,"n.程序,手续"
government,"n.政府,<英>内阁,政治,政体"
governor,"n.统治者,管理者,地方长官,主管人员"
govern,"v.统治,支配,管理"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
efficient,"adj.(直接)生效的,有效率的,能干的"
efficiency,"n.效率,功效"
deficiency,"n.缺乏,不足"
sufficient,"adj.充分的,足够的"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
profitable,adj.有利可图的
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
put,"vt.放,摆,安置,表达,迫使,移动,提出,赋予vi.出发,航行,发芽,击n.掷,投击,笨蛋,怪人 vbl.put的过去式和过去分词adj.固定不动的"
output,"n.产量,输出,输出量"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
evaluate,"vt.评价,估计,求...的值v.评价"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
devaluation,n.(货币)贬值
child,"n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者"
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
alive,"adj.活着的,活泼的"
survive,"v.幸免于,幸存,生还"
political,"adj.政治的,行政上的"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
attendant,n.服务员
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
surround,"vt.包围,环境v.围绕"
surrounding,"n.围绕物,环境adj.周围的"
roundabout,"adj.迂回的,转弯抹角的n.道路交叉处的环形路,迂回路线,兜圈子的话"
turn,"n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)"
overturn,"n.倾覆,破灭,革命vt.推翻,颠倒vi.翻倒n.翻转,毁灭"
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
unconditional,"adj.无条件的,绝对的,无限制的"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accountable,"adj.应负责的,有责任的,可解释的"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
reaction,"n.反应,反作用,反动(力)"
agenda,n.pl.议程
test,"n.测试,试验,检验v.测试,试验,检验"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
allow,"vt.允许,承认"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留"
shareholder,n.股东
uphold,"vt.支持,赞成"
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业"
practically,"adv.实际上,事实上,在实践上adv.几乎,简直"
quality,"n.质量,品质,性质"
qualification,"n.资格,条件,限制,限定,赋予资格"
especially,"adv.特别,尤其"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
rule,"n.规则,惯例,统治,章程,破折号,准则,标准,控制vt.规定,统治,支配,裁决vi.统治,管辖,裁定n.规则,水线"
royal,"adj.王室的,皇家的,第一流的,高贵的"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
overrule,"vt.驳回,否决,支配,制服"
economic,"adj.经济(上)的,产供销的,经济学的"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
reason,"n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考"
unreasonable,"adj.不讲道理的,不合理的,过度的,不切实际的"
reasonableness,"n.合理,妥当"
decade,"n.十年,十"
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
hardline,
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
avoid,"vt.避免,消除"
unavoidable,"adj.不能避免的,不可避免的,不能取消的"
law,
legitimate,"adj.合法的,合理的,正统的v.合法"
legal,"adj.法律的,法定的,合法"
lawyer,n.律师
history,"n.历史,历史学,过去的事(的记载),来历,历史记录"
historical,"adj.历史(上)的,有关历史的"
place,"n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前"
replace,"vt.取代,替换,代替,把...放回原处"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
motive,"n.动机,目的adj.发动的,运动的"
motivate,v.激发
emotional,"adj.情绪的,情感的"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
disappear,"vi.消失,不见"
apparent,"adj.显然的,外观上的"
include,"vt.包括,包含"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
conclusion,"n.结束,缔结,结论"
disclose,"vt.揭露,透露"
disclosure,"n.揭发,败露,败露的事情"
fail,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
describe,
ascribe,"vt.归因于,归咎于"
prescription,"n.指示,规定,命令,处方,药方"
subscriber,"n.订户,签署者,捐献者"
ability,"n.能力,才干"
enable,"vt.使能够,授予权利或方法"
involve,"vt.包括,笼罩,潜心于,使陷于"
evolution,"n.进展,发展,演变,进化"
revolutionary,adj.革命的
revolutionize,"vt.宣传革命,大事改革"
volume,"n.卷,册,体积,量,大量,音量"
kind,"n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的"
lose,"vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败"
loss,"n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低"
possible,"adj.可能的,可能存在或发生的"
possibility,"n.可能性,可能发生的事物"
impossible,"adj.不可能的,不会发生的,难以忍受的"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
controversy,"n.论争,辩论,论战"
controversial,"adj.争论的,争议的"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
counteract,"vt.抵消,中和,阻碍"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
encourage,"vt.鼓励,怂恿v.鼓励,鼓励"
courage,"n.勇气,精神"
courageous,"adj.勇敢的,有胆量的"
discourage,"vt.使气馁,阻碍"
encouragement,"n.鼓励,奖励"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
effort,"n.努力,成就"
enforce,"vt.强迫,执行,坚持,加强"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去"
inexcusable,"adj.没法辩解的,不可宽赦的"
accusation,"n.谴责,[律]指控"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
expression,
impressive,"adj.给人深刻印象的,感人的"
depression,"n.沮丧,消沉,低气压,低压"
set,"v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议"
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧"
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
materialistic,"adj.唯物论的,唯物主义的"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
development,n.发展
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
envelope,"n.信封,封套,封袋,[天]包层,[数]包迹,[生]包膜"
program,"n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目"
grammar,"n.文法,有关原理的书,入门的书"
grammatical,"adj.文法的,合乎文法的"
together,"adv.共同,一起,合起来,集拢地"
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
compare,"v.比较,相比,比喻 n.比较"
comparable,"adj.可比较的,比得上的"
comparative,"adj.比较的,相当的"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得"
clarify,"v.澄清,阐明"
clarity,"n.清楚,透明"
tend,"vi.趋向,往往是vt.照管,护理"
contend,"v.斗争,竞争,主张"
extension,"n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
move,"n.移动,迁居,步骤vt.移动,感动,鼓动vi.移动,离开,运行,迁移,搬家"
opportunity,"n.机会,时机"
choose,"v.选择,选定"
choice,"n.选择,抉择,精选品,选择机会,选择权adj.精选的,上等的,挑三拣四的,可选的,宠爱的,爱惜的"
face,"n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
health,"n.健康,健康状态,兴旺,为健康干杯"
financial,"adj.财政的,金融的"
financially,"adv.财政上,金融上"
define,"vt.定义,详细说明"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
definitely,"adv.明确地,干脆地"
final,"n.结局,决赛,期末考试,<口>报纸(在一天中)最晚版adj.最后的,最终的,决定性的"
finally,"adv.最后,终于,不可更改地,决定性地"
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
confine,"vt.限制,禁闭n.界限,边界"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sentence,"n.句子,判决,宣判,文句vt.宜判,判决"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
sensitive,"adj.敏感的,灵敏的,感光的"
sensible,"adj.有感觉的,明智的,有判断力的"
consensus,"n.一致同意,多数人的意见,舆论"
during," prep.在...的期间,在...的时候"
durable,"adj.持久的,耐用的"
endure,"v.耐久,忍耐"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
science,"n.科学,自然科学,理科"
conscious,
unconscious,"adj.不省人事,未发觉的,无意识的"
subconscious,adj.下意识的
conscience,"n.良心,道德心"
neuroscientist,
national,"adj.国家的,国立[有]的,民族的"
nation,"n.国家,民族"
international,"adj.国际的,世界的n.国际性组织,国际比赛"
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
conservative,"adj.保守的,守旧的n.保守派"
deserve,"vt.应受,值得v.应受"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
person,"n.人,身体,容貌,[语法]人称"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
million," num.百万,百万个n.[pl.] 无数"
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的"
strength,"n.力,力量,力气,实力,兵力,浓度"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
basic,
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意"
comment,"n.注释,评论,意见vi.注释,评论"
commemorate,vt.纪念
mental,"adj.精神的,智力的"
depend,"vi.依靠,依赖"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
independence,"n.独立,自主"
necessary,"n.必需品adj.必要的,必需的,必然的"
necessarily,adv.必要地
unnecessary,"adj.不必要的,多余的"
necessitate,v.成为必要
power,"n.能力,力量,动力,权力,[数]幂,[物]功率vt.使...有力量,供以动力,激励"
powerful,"adj.强大的,有力的"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
product,"n.产品,产物,乘积"
producer,"n.生产者,制作者,演出人,(电影)制片人"
productive,"adj.生产性的,生产的,能产的,多产的"
production,"n.生产,产品,作品,(研究)成果"
productivity,n.生产力
apply,"vt.申请,应用vi.申请,适用"
applicable,"adj.可适用的,可应用的"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
applicant,"n.申请者,请求者"
applaud,"v.拍手喝彩,称赞,赞同"
relationship,"n.关系,关联"
relate,"vt.叙述,讲,使联系,发生关系"
relation,"n.关系,联系,叙述,故事,亲戚"
unrelated,
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的"
relatively, 相关地
relationally,
correlate,vt.使相互关联vi.和...相关
continue,"v.继续,连续,延伸"
continuous,"adj.连续的,持续的"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
unfocused,
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
provision,"n.供应,(一批)供应品,预备,防备,规定"
follow,"vt.跟随,追随,沿...而行,理解,遵循,从事,追求,注视vi.跟随,接着n.跟随,追随"
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类"
naive,adj.天真的
innate,"adj.先天的,天生的"
understand,"v.懂,了解,听说,推定,以为,省略"
understanding,"n.谅解,理解"
misunderstand,"vt.误解,误会"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
suspicion,"n.猜疑,怀疑"
doubtful,"adj.可疑的,不确的,疑心的"
introduce,"vt.介绍,传入,引进,提出"
education,"n.教育,训导,训练,培养,教育学"
conduct,"n.行为,操行v.引导,管理,为人,传导"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼"
portray,v.描绘
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
recognize,"vt.认可,承认,公认,赏识vi.具结"
cognitive,"adj.认知的,认识的,有感知的"
diagnosis,n.诊断
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
career,"n.(原意:道路,轨道)事业,生涯,速度"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
pass,"n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌"
bypass,"n.旁路vt.设旁路,迂回"
surpass,"vt.超越,胜过"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
remain,"vi.保持,逗留,剩余,残存"
response,"n.回答,响应,反应"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
responsibility,"n.责任,职责"
correspondence," /n.函授 principle//n.对 school//n.函授/n.相应,通信,信件/纬"
factor,"n.因素,要素,因数,代理人"
situation,"n.情形,境遇,(建筑物等的)位置"
exist,"vi.存在,生存,生活,继续存在"
consist,"vi.由...组成,在于,一致"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
existence,"n.存在,实在,生活,存在物,实在物"
coexistence,n.共存
insist,"v.坚持,强调"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
resistant,"adj.抵抗的,有抵抗力的"
simply,"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是"
complex,"adj.复杂的,合成的,综合的n.联合体"
implication,"n.牵连,含意,暗示"
complicated,"adj.复杂的,难解的"
employee,"n.职工,雇员,店员"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
imply,"vt.暗示,意味"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
industry,"n.工业,产业,行业,勤奋"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
infrastructure,"n.下部构造,基础下部组织"
destruction,"n.破坏,毁灭"
instruction,"n.指示,用法说明(书),教育,指导,指令"
reconstruction,"n.重建,改造"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
profession,"n.职业,专业,表白,宣布"
professionalism,"n.专家的地位,特性或方法,专业主义"
professionalisation,
professionalise,
difficult,"adj.困难的,艰难的,(人)难相处的"
difficulty,"n.困难,难点"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
physics,n.物理学
customer,n.消费者
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
accustom,vt.使习惯于
reveal,"vt.展现,显示,揭示,暴露"
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署"
signal,"n.信号adj.信号的v.发信号,用信号通知"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
significant,"adj.有意义的,重大的,重要的"
