tiring,"a. 引起疲劳的, 累人的
[医] 轮箍术(髌骨骨折时)"
spin,"spin
[spin]
vt.
纺(纱等)：
使成线；使成纱：
(蜘蛛)结网；(蚕)吐(丝)，做(茧)：
使旋转：
(汽车等在冰上或沙地上使车轮)空转
把(球)扔(或投、踢打)得在空中旋转
= spin-dry
用旋式钓铒钓(鱼)；在…中用旋式铒钓鱼
使(金属)铸模成形
把(玻璃、黄金等)抽拉成丝
[口语]放(唱片)：
编造；撰写：
[美国俚语]欺骗，哄(人)
[英国英语]给…不及格分数
使拖延时间，使多维持时日(out)：
[美国英语]对…做出倾向性解释：
【火箭学】使(火箭、导弹)盘绕飞行
vi.
旋转：
(蜘蛛)结网；(蚕)吐丝，做茧
纺线；纺纱：
疾驰，飞跑：
眩晕：
用旋式饵钓鱼
(车轮)空转
[美国俚语]跳舞
[英国英语]考试不及格
[美国英语]作舆论导向，造假舆论
【火箭学】(火箭、导弹)盘旋飞行
n.
旋转
自转，回转
(用洗衣机等的)脱水
疾驰，飞奔
(车轮的)空转
【商业】(价格等的)暴跌
【航空学】旋冲，螺旋下降
【物理学】旋转动量
情绪低落；惊惶失措
[美国英语]定调，导向，倾向性意见，导向性解释
[口语]放唱片；放唱片的时间
(不真实的)溢美之辞，润色之辞
观点；影响；偏见
[澳大利亚口语]运气
[900年前，1992]
短语:
put a positive (或 negative) spin on
对…作正面(或负面)倾向性解释；对…持积极(或消极等)观点；对…起积极(或消极等)的影响
变形：
vt.
spun或 span
. spun
. spinning"
control,[网络] 控制；控制传输；变更控制
out of control,"不受控制, 失去控制
[法] 不受控制"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
cut ... short,"na. 打断(讲话)；使停止；缩减；从简
[网络] 中断；突然停止；缩短"
Pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
ocean,"n. 海洋, 广阔, 许多, 一大片
[法] 海洋, 海"
land,表示：u201c某种质量的土地u201d：grassland; u201c特定的地方或境界u201d：fairyland
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
[计] 步骤"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
mankind,"n. 人类, 男性"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
[计] 步骤"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
citizen,"n. 市民, 公民
[法] 公民, 国民, 市民"
pride,必利
passage,"n. 一段（文章）；走廊；通路
n. (Passage)人名；(英)帕西奇；(法)帕萨热"
by hand,用手
mathematics,"n. 数学
[机] 数学"
maths,n. 数学
scientist,"n. 科学家
[医] 科学家"
radium,"n. 镭
[化] 镭Ra"
laboratory,"n. 实验室, 研究室, 化工厂
[医] 实验室, 检验室, 化验室"
lab,[计] Visual dBASE标签文件
professor,n. 教授
discovery,"n. 发现, 被发现的事物
[法] 要求告知, 发现, 发觉"
unknown,[网络] 未知的；不明身份
widely,adv. 广泛地
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
[计] NetWare的主机实用程序, 双重用户建立程序"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
[计] 标题"
agriculture,"n. 农业
[机] 农业, 农学"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
happen to,"碰巧,偶然;发生于"
advantage,"n. 优势；利益；有利条件
vi. 获利
vt. 有利于；使处于优势"
at present,"现在, 目前"
contribution,"n. 捐助, 捐助之物, 贡献
[经] 贡献, 捐款, 补助品"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
production,产物离子
development,[网络] 开发；的发展；不断发展
robot,"n. 机械人, 自动机械, 机械般工作的人
[计] 机器人; 自动机"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
[计] 记入; 登记, 上电自检"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
[计] 邮件"
explore,"v. 探险, 探测, 探究"
outer space,"n. 太空, 外层空间"
brain,"n. 脑
vt. 打碎脑部"
whatever,"adj. 不管什么样的
pron. 无论什么；诸如此类
conj. 无论什么"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
smoothly,"adv. 平滑地, 流畅地, 流利地"
iron,[网络] 铁；铁含量
in general,大多数
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
virus,"n. 病毒, 滤过性病毒, 毒害
[化] 病毒"
no longer,不再
properly,"adv. 适当地, 相当地"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
[计] 存储器操作; 存储"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
[计] 私人的"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
[计] 展开"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
forgetful,"a. 健忘的, 易忘的"
stair,"n. 梯级, 楼梯, 阶梯"
battery,"n. 电池, 殴打
[化] 蓄电池"
customer,"n. 消费者
[化] 顾客"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
[计] 保留"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
satisfied,a. 感到满意的
be satisfied with,对...感到满意
first of all,首先
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
up to standard,"达到标准,符合标准,合格"
completely,"adv. 完全地, 十分地, 圆满地"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
product,[网络] 产品；产品创新
Mars,[网络] 马尔斯
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
air tank,[化] 气柜; 气罐; 空气罐
dried food,"un. 脱水食物
[网络] 干货；干缩食品；干制食品"
power pack,[电] 电源组
sleeping bag,睡袋
gravity,"n. 地心引力, 重力
[化] 重力"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
crowded,"a. 拥挤的, 塞满的"
polluted,"a. 被污染的, 被玷污的, (美)(非正式)喝得烂醉的"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
over again," 再一次, 重新, 重复"
all over again,"完全重做,从头开始"
passenger,"n. 乘客, 旅客
[经] 乘客, 旅客"
at a speed of,以…的速度
at the speed of,以…的速度
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
oxygen,"n. 氧
[化] 氧O-2"
in the form of,以…形式
tasty,"a. 好吃的, 可口的"
specially,"adv. 特别；特意；尤其；专门地
[网络] 特别地；特地；特意地"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
[计] 浮动"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
[计] 比较"
compare to, 把…比作， 喻为; 与…相比
compare with,"比较…,跟…相比,比得上…"
interplanetary,adj. 太阳系内的；行星间的
network,[机] 净功
challenging,"a. 挑战的, 引起争论的"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
aware,"a. 知道的, 有觉悟的"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
agreement,"n. 同意, 合约, 协议
[经] 契约, 协议, 协定"
distance,[网络] 距离
possibility,"n. 可能性, 可能的事
[法] 可能性, 可能发生的事, 不确定权"
alien,阿连
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
stranger,"n. 陌生人, 门外汉
[法] 局外人, 非当事人, 第三者"
carry out,"na. 实行；开展；完成
[网络] 执行；实现；贯彻"
percentage,"n. 百分比, 比率, 部分, 可能性
[计] 百分比"
disadvantage,"n. 缺点, 不利, 坏处"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
after all,毕竟
goods,"n. 货物
[经] 货物, 商品, 动产"
electronic,"a. 电子的
[计] 电子工业协会接口"
entertainment,"n. 娱乐, 款待, 娱乐表演"
