tiring,"a. 引起疲劳的, 累人的
[医] 轮箍术(髌骨骨折时)"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
[计] 步骤"
Chinese knot, 中国结
Chinese opera,中国戏曲
Chinese paper-cutting,无
chopsticks,n. 筷子
dragon dance,舞龙
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
in the middle of,"在...当中, 在...的中途, 在...中央"
emperor,"n. 皇帝, 君主"
raising,[机] 起油
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
[计] 标志; 属性标记命令"
landscape,地景
attraction,"n. 吸引, 吸引人的事物, 吸引力
[医] 吸引"
watchtower,了望塔
wonder,"n. 惊奇；奇迹；惊愕
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶
adj. 奇妙的；非凡的
n. (Wonder)人名；(英)旺德"
lie,[网络] 长岛迷情；少男初体验；中间
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
[计] 形状"
underground, 地下
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
point,"n. 要点；得分；标点；[机] 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向
n. (Point)人名；(法)普安"
upwards,"adv. 以上, 向上"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
south-east,"n. 东南；东南方；东南地区
[网络] 东南区；东南部；英格兰东南"
location,[网络] 偏重于以区位
take up,"na. 拿起；举起；拾起；给搭(火车等)
[网络] 占据；从事；开始"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
either,[网络] 其他
level,comb.form [用来构成复合词]表示“…级别的”，“…水平的”：high-level
service,"n. 服务, 服侍；服役；仪式
a. 服务性的；耐用的；服现役的
vt. 维修, 检修；保养
n. (Service)人名；(英)瑟维斯"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
[计] 状态"
Hindi,"a. 印地语的, 印度北部的
n. 印地语"
billion,"num. 十亿, 十亿个"
population,"n. 人口, 人口数
[化] 群体; 总体"
iron,[网络] 铁；铁含量
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
[网络] 信息技术(Information Technology)；它；资讯科技"
information technology,[电] 信息技术
technology,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
[计] 定制; 自定义"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
sari,n. 莎丽(印度妇女用的裹身布)
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
inventor,"n. 发明家
[法] 发明人, 发明家, 创造者"
invent,"vt. 发明, 创作, 虚构
[机] 发明"
explorer,"n. 探险家, 探测者, 勘探器
[医] 探察器"
South African,"a. 南非的, 南非人的"
fighter,"n. 斗士, 战士, 好战者, 战斗机"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
European,"n. 欧洲人
a. 欧洲的, 欧洲人的"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
[计] 引导"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试
n. (Test)人名；(英)特斯特"
aircraft,"n. 航空器,飞机"
astronaut,"n. 太空旅行者, 宇航员
[法] 美国太空人"
spacecraft,"[计] 宇宙飞船, 空间飞行器"
