classroom,室
really,[网络] 再结盟
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
TV,"n. 电视；电视机
abbr. (=television)
[网络] 电视(television)；电视剧；快门优先"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序"
schoolbag,书包
maths book,无
English book, 英语书
Chinese book, 语文书
storybook,"na. 故事书
[网络] 故事书籍；英语童话书；分级阅读故事书"
candy,[网络] 服务又分青少年
notebook,票据簿
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
key,[计] DataCAD图标工具条文件
wow,[计] Grave Composer音乐模块（MOD）文件
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
so much,"那么多, 全是"
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
friendly,[网络] -友善
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
hair,"n. 头发, 毛发, 些微
[医] 毛, 发"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
his,"pron. 他的
[化] 组氨酸"
or, …的人（或物）
right,[网络] -对
hat,"n. 帽子
vt. 给...戴帽子"
her,"pron. 她的；她
n. (Her)人名；(法)埃尔"
bedroom,[网络] 卧室；睡房；卧室系列
living room,"客厅, 起居室"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
kitchen,"n. 厨房, 全套炊具
[医] 厨房"
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
bed,[网络] 教育学士课程；教育学士学位课程
phone,"n. 电话；电话机；音素；电话听筒
v. 打电话
[网络] 手机；联系电话；电话号码"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
sofa,n. 沙发
fridge,"n. 冰箱
[网络] 电冰箱；雪柜；冷冻机"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中
寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上"
them,"pron. 他们；它们；她们
n. (Them)人名；(老)探"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
chicken,"n. 小鸡, 鸡肉"
noodles,"n. 面条, 挂面（noodle的复数形式）"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
chopsticks,n. 筷子
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
[计] 派生指令"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
dinner,[网络] 正餐
ready,"adj. 准备好；现成的；迅速的；情愿的；快要…的
n. 现款；预备好的状态
adv. 迅速地；预先
vt. 使准备好
n. (Ready)人名；(英)雷迪"
help yourself,请自己动手用餐吧
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
[计] 遍"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
parents,"n. 父母；双亲（parent的复数）
v. 教养；引起（parent的三单形式）
n. (Parents)人名；(法)帕朗"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
[法] 同辈表亲或堂亲"
uncle,[网络] -叔叔
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
baby brother,[网络] 小弟弟；我的弟弟啊；切入正题
doctor,"n. 医生；博士
vt. 修理；窜改，伪造；为…治病；授以博士学位
vi. 就医；行医"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
driver,"n. 驾驶员, 驱动器, 驱动程序
[化] 驱动器"
farmer,"n. 农夫, 农场主
[法] 农民, 农场主, 承包者"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
but,"conj. 而；然而；只有；尽管如此
prep. 除了；除…之外
adv. 只有；仅仅
n. 借口；托辞
v. 对(某人)讲“但是”(以示反对,拒绝等)
[网络] 可是；不过；而是"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间
n. (Little)人名；(英)利特尔"
puppy,"n. 小狗, 小动物, 自负的年轻人"
football player, [体]足球运动员
job,[网络] 职务；多个作业；即作业
basketball,n. 篮球运动
