radical,"adj.根本的,基本的,激进的n.激进分子"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
charity,"n.慈善,施舍,慈善团体,"
cherish,"vt.珍爱,怀抱(希望等)"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
audience,"n.听众,观众,接见,拜见"
inherit,"vt.继承,遗传而得"
dimension,"n.尺寸,尺度,维(数),度(数),元"
immense,"adj.极广大的,无边的,<口>非常好的"
utilize,vt.利用
utility,"n.效用,有用"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
literal,"adj.文字的,照字面上的,无夸张的"
decorate,"v.装饰,为...做室内装修"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
effort,"n.努力,成就"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
create,"vt.创造,创作,引起,造成"
creative,adj.创造性的
recreation,"n.消遣,娱乐"
decrease,"n.减少,减少之量v.减少"
increasingly,"adv.日益,愈加"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
inspect,"vt.检查,视察v.检查"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
speculate,"vi.推测,思索,做投机买卖"
respective,"adj.分别的,各自的"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
recall,"vt.回忆,回想,记起,取消n.召回"
recover,"vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉"
recovery,"n.恢复,痊愈,防御"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
repetition,"n.重复,循环,复制品,副本"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
retreat,"vi.撤退,退却n.撤退,退却"
review,"vt.回顾,复习n.回顾,复习,评论"
revolt,"v.反抗,起义,反叛,反感,厌恶"
regard,"n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系"
regardless,"adj.不管,不顾,不注意"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
relieve,"vt.减轻,解除,援救,救济,换班"
rely,"v.依赖,依靠,信赖,信任,依赖于"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
remain,"vi.保持,逗留,剩余,残存"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
rescue,"vt.援救,营救n.援救,营救"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
retire,"vi.退休,引退,退却,撤退,就寝"
reveal,"vt.展现,显示,揭示,暴露"
reward,"n.报酬,奖金vt.酬劳,奖赏"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
renovate,"vt.革新,刷新,修复"
resource,"n.[pl.] 资源,财力,办法,智谋"
revenue,"n.收入,国家的收入,税收"
restrain,"vt.抑制,制止"
restraint,"n.抑制,制止,克制"
restrict,"vt.限制,约束,限定"
diagram,n.图表
grammatical,"adj.文法的,合乎文法的"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
ability,"n.能力,才干"
probability,"n.可能性,或然性,概率"
reliability,n.可靠性
disability,"n.无力,无能,残疾n.[律] 无能力,无资格"
stability,n.稳定性
fertile,"adj.肥沃的,富饶的,能繁殖的"
hostile,"adj.敌对的,敌方的n.敌对"
mobile,"adj.可移动的,易变的,机动的n.运动物体"
equality,"n.等同性,同等,平等,相等,等式"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
sequence,"n.次序,顺序,序列"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
consequently,"adv.从而,因此"
subsequent,"adj.后来的,并发的"
sympathize,"vi.同情,共鸣,同感,同意,吊唁"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
passion,"n.激情,热情,耶稣的受难和死亡"
passive,adj.被动的
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
format,"n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)"
formation,"n.形成,构成,编队"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
fluent,"adj.流利的,流畅的"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
influential,"adj.有影响的,有势力的"
suspend,"vt.吊,悬挂v.延缓"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
suspicion,"n.猜疑,怀疑"
majority,"n.多数,大半n.[律] 成年"
temporary,"adj.暂时的,临时的,临时性"
contemporary,"n.同时代的人adj.当代的,同时代的"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
complain,"v.抱怨,悲叹,控诉"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
colleague,"n.同事,同僚"
collision,"n.碰撞,冲突"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
accompany,"vt.陪伴,伴奏"
comprise,"v.包含,由...组成"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
compute,"v.计算,估计,用计算机计算(或确定)"
commence,"v.开始,着手"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
comply,"vi.顺从,答应,遵守"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
condemn,"vt.判刑,处刑,声讨,谴责"
confuse,"vt.搞乱,使糊涂"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
contribute,"v.捐助,捐献,贡献,投稿"
context,"n.上下文,文章的前后关系"
connect,"v.连接,联合,关连"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
condense,"v.(使)浓缩,精简"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
considerate,adj.考虑周到的
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
constitute,"vt.制定(法律),建立(政府),组成,任命"
contact,"n.接触,联系vt.接触,联系"
convey,"vt.搬运,传达,转让"
convince,"vt.使确信,使信服"
conflict,"n.斗争,冲突vi.抵触,冲突"
consolidate,v.巩固
contaminate,v.污染
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
coherence,n.一致
conference,"n.会议,讨论会,协商会"
conscience,"n.良心,道德心"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
existence,"n.存在,实在,生活,存在物,实在物"
compel,"vt.强迫,迫使"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
expel,"v.驱逐,开除,排出,发射"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
consult,"v.商量,商议,请教,参考,考虑"
category,"n.种类,别,[逻]范畴"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
frequent,"adj.时常发生的,频繁的"
clarity,"n.清楚,透明"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
expression,
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
impress,"vt.印,盖印,留下印象"
impression,"n.印象,感想,盖印,压痕"
impressive,"adj.给人深刻印象的,感人的"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
section,"n.部分,断片,部件,节,项,区,地域,截面"
segment,"n.段,节,片断v.分割"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
festival,"n.节日,喜庆日,音乐节,戏剧节,喜庆,欢宴,欢乐adj.节日的,快乐的"
liberate,"v.解放,释放"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
contradict,"vt.同...矛盾,同...抵触"
contradiction,"n.反驳,矛盾"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
controversy,"n.论争,辩论,论战"
introduction,"n.介绍,传入,初步,导言,绪论,入门"
educate,"vt.教育,训练,培养v.教育"
product,"n.产品,产物,乘积"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
conduct,"n.行为,操行v.引导,管理,为人,传导"
reduction,"n.减少,缩影,变形,缩减量,约简,缩小,降低,缩图,缩版"
transmission,"n.播送,发射,传动,传送,传输,转播"
mission,"n.使命,任务,使团,代表团"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
omit,"vt.省略,疏忽,遗漏"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
permission,"n.许可,允许"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
dismissal,"n.免职,解雇,不予考虑"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
committee,n.委员会
admit,"v.容许,承认,接纳"
analyse,"vt.分析,分解n.分析"
analysis,"n.分析,分解"
possibility,"n.可能性,可能发生的事物"
improvement,"n.改进,进步"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
settlement,"n.沉降,解决,结算,殖民,殖民地"
supplement,"n.补遗,补充,附录,增刊v.补充"
treatment,"n.待遇,对待,处理,治疗"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
installment,n.部分
adjustment,"n.调整,调节,调节器"
employment,"n.雇用,使用,利用,工作,职业"
mental,"adj.精神的,智力的"
mentality,"n.智力,精神,心理,思想情况"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
remind,"vt.提醒,使想起"
investment,"n.投资,可获利的东西"
comment,"n.注释,评论,意见vi.注释,评论"
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
package,"n.包裹,包"
percentage,"n.百分数,百分率,百分比"
shortage,"n.不足,缺乏"
usage,"n.使用,用法"
drainage,"n.排水,排泄,排水装置,排水区域,排出物,消耗"
beverage,n.饮料
arbitrary,"adj.任意的,武断的,独裁的,专断的"
boundary,"n.边界,分界线"
secondary,"adj.次要的,二级的,中级的,第二的"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
monetary,"adj.货币的,金钱的"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
leadership,"n.领导能力,领导阶层"
relationship,"n.关系,关联"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
imaginary,"adj.假想的,想象的,虚构的"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
acute,"adj.敏锐的,[医]急性的,剧烈"
hospitable,"adj.好客的,招待周到的"
injection,"n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
apologize,"vi.道歉,辩白"
logic,"n.逻辑,逻辑学,逻辑性"
logical,"adj.合乎逻辑的,合理的"
catalog,"n.目录,目录册v.编目录"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
respond,"v.回答,响应,作出反应vi.有反应"
correspond,"vi.符合,协调,通信,相当,相应"
corresponding,"adj.相应的,通讯的"
response,"n.回答,响应,反应"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
decade,"n.十年,十"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
aggression,"n.进攻,侵略"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
resign,"n.辞去(职务)v.辞去,辞职"
signal,"n.信号adj.信号的v.发信号,用信号通知"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accordance,"n.一致,和谐"
accordingly,"adv.因此,从而"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
emphasize,"vt.强调,着重v.强调"
emphasis,"n.强调,重点"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
encourage,"vt.鼓励,怂恿v.鼓励,鼓励"
endure,"v.耐久,忍耐"
enforce,"vt.强迫,执行,坚持,加强"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
enlarge,"v.扩大,放大"
environment,"n.环境,外界"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
envy,"n.vt.羡慕,嫉妒"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
enthusiastic,"adj.热心的,热情的"
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
endanger,vt.危及
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
energetic,"adj.精力充沛的,积极的"
enable,"vt.使能够,授予权利或方法"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
appropriate,adj.适当的
feasible,"adj.可行的,切实可行的"
tangible,adj.切实的
intangible,"adj.难以明了的,无形的"
administer,"v.管理,给予,执行"
administration," /[)n/n.管理,经营,衅]网络管理"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
accident,"n.意外事件,事故"
accumulate,"v.积聚,堆积"
acquaint,"vt.使熟知,通知"
accent,"n.重音,口音,重音符"
acknowledge,"vt.承认,答谢,报偿"
accuse,"vt.控告,谴责,非难"
appetite,"n.食欲,胃口,欲望,爱好"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
apparatus,"n.器械,设备,仪器"
appoint,"vt.约定,指定(时间,地点),任命,委任"
attempt,"n.努力,尝试,企图vt.尝试,企图"
attribute,"n.属性,品质,特征,加于,归结于"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
annoy,"vt.使苦恼,骚扰"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
assist,"v.援助,帮助"
association,"n.协会,联合,结交,联想"
asset,"n.资产,有用的东西"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
pollute,"vt.弄脏,污染"
pollution,"n.污染,玷污"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
confident,"adj.自信的,确信的"
confidence,n.信心
solemn,"adj.庄严的,隆重的,严肃的"
practically,"adv.实际上,事实上,在实践上adv.几乎,简直"
pioneer,"n.先驱,倡导者,先遣兵,先锋"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
routine,"n.例行公事,常规,日常事务,程序"
heroine,"n.女英雄,女主人公"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
absorb,"vt.吸收,吸引"
