radical,"adj.根本的,基本的,激进的n.激进分子"
ample,"adj.充足的,丰富的"
rapid,"adj.迅速的,飞快的,险峻的n.急流,高速交通工具,高速交通网"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
bonus,"n.奖金,红利"
fable,"n.寓言,神话,谎言vi.讲故事,编寓言,煞有其事地讲述"
diplomat,"n.外交官,有外交手腕的人,有权谋的人"
obese,"adj.肥胖的,肥大的"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
glory,"n.荣誉,光荣"
glorious,"adj.光荣的,显赫的"
judgement,"n.审判,判决,判断力,意见,看法,评价"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
geology,"n.地质学,地质概况"
sensible,"adj.有感觉的,明智的,有判断力的"
sensitive,"adj.敏感的,灵敏的,感光的"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
resent,"v.愤恨,怨恨"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
representative,"n.代表adj.典型的,有代表性的"
fraction,"n.小部分,片断,分数"
fragment,"n.碎片,断片,片段"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
principle,"n.法则,原则,原理"
prior,"adj.优先的,在前的n.预先adv.在"
premier,"adj.第一的,首要的n.总理"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
primarily,"adv.首先,起初,主要地,根本上"
primitive,"adj.原始的,远古的,粗糙的,简单的"
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演"
precaution,"n.预防,警惕,防范"
preceding,"adj.在前的,前述的"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
preferable,"adj.更可取的,更好的,更优越的"
preference,"n.偏爱,优先选择"
preliminary,"adj.预备的,初步的"
preparation,"n.准备,预备"
prejudice,"n.偏见,成见,损害,侵害v.损害"
presence,"n.出席,到场,存在"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
prevent,"v.防止,预防"
prevail,"vi.流行,盛行,获胜,成功"
precise,"adj.精确的,准确的n.精确"
precision,"n.精确,精密度,精度"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
invade,"vt.侵略,侵袭,拥挤"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
infect,"vt.[医] 传染,感染"
input,n.输入v.输入
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
install,"vt.安装,安置,使就职"
installation,"n.[计]安装,装置,就职"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
instead,"adv.代替,改为,抵作,更换"
instinct,n.本能
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
incident,"n.事件,事变adj.附带的,易于发生的"
invent,"vt.发明,创造v.发明"
investigate,"v.调查,研究"
insane,"adj.患精神病的,精神病患者的,极愚蠢的"
immigrate,vt.使移居入境vi.移来
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
insight,"n.洞察力,见识"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
invest,"v.投(资),购买(有用之物)～,授予,投资"
irregular,"adj.不规则的,无规律的"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
oblige,"vt.迫使,责成"
obstacle,"n.障碍,妨害物"
employ,"vt.雇用,用,使用v.使用n.雇用"
unemployed,"adj.失业的,未被利用的"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
realistic,adj.现实(主义)的
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
ozone,"n.新鲜的空气,[化]臭氧"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
horrible,"adj.可怕的,恐怖的,讨厌的"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
inhabit,"vt.居住于,存在于,占据,栖息"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
conversion,"n.变换,转化"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
version,"n.译文,译本,翻译"
diverse,"adj.不同的,变化多的"
confine,"vt.限制,禁闭n.界限,边界"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
define,"vt.定义,详细说明"
definite,"adj.明确的,一定的"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
financial,"adj.财政的,金融的"
refine,"vt.精炼,精制,使文雅高尚"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
communication,"n.传达,信息,交通,通讯"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
commune,"n.公社vi.密切联系,谈心"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
unique,"adj.唯一的,独特的"
unit,"n.个体,(计量)单位,(军队的)部队单位,[数学]最小的整数"
unite,"v.联合,团结"
reunite,v.(使)再结合
unity,"n.团结,联合,统一,一致"
union,"n.联合,合并,结合,联盟,协会"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
uncertain,"adj.无常的,不确定的,不可预测的,靠不住的"
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
superficial,"adj.表面的,肤浅的,浅薄的"
supreme,"adj.极度的,极大的,至高的,最高的"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
supervise,"v.监督,管理,指导"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
intelligence,"n.智力,聪明,智能"
interfere,"vi.干涉,干预,妨碍,打扰"
interference,"n.冲突,干涉"
interior,"adj.内部的,内的n.内部"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
interpretation,"n.解释,阐明,口译,通译"
interval,"n.间隔,距离,幕间休息n.时间间隔"
interview,"vt.接见,会见n.接见,会见"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
entrepreneur,"n.<法>企业家,主办人"
exaggerate,"v.夸大,夸张"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
exclaim,"v.呼喊,惊叫,大声叫"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
explore,"v.探险,探测,探究"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
expense,"n.费用,代价,损失,开支,费钱之物"
expensive,"adj.花费的,昂贵的"
expert,"n.专家,行家,[军](特等)射手adj.老练的,内行的,专门的vt.在...中当行家,当专家"
expertise,"n.专家的意见,专门技术"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
